file,label,zcr,spectral_centroid,spectral_rolloff,chroma_stft,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
a0001.wav,1,0.0411865234375,73.31429978408453,109.31919642857143,0.6417811695554445,-324.5745217370578,235.66903259282273,37.61101155374125,5.274651405147566,46.602628132954145,27.416937871271493,-3.4828685948199243,0.8631445626712834,4.081433273204204,-3.1370705451724445,-4.456301612169108,-5.945420490744773,-9.46091400076853,-6.972103300258253,-3.068918153460044,-4.334902346129402,-6.635761975360329,-5.314190696273072,-3.222411086579147,-3.7199302053002716
a0002.wav,1,0.07969702743902439,117.3727239310998,217.6781631097561,0.6099267288797074,-264.5385577762161,280.40571862376936,22.609469785720883,-24.223727433149918,23.793379720621342,4.912648759065876,-18.623012403700834,-0.07666792092127553,6.2683674450137525,-2.6754188488886257,-0.9620123750267491,-2.349289841534052,-9.659885096782316,-9.245763514641668,-7.095940933304789,-7.055135104856966,-3.224596993494301,-0.3266172652590544,-1.8742248897753533,-3.0073977150091493
a0003.wav,1,0.038731598657024795,75.51550263406419,122.07838326446281,0.6981648894164129,-384.9802256386164,225.28385904990276,57.735500686881366,10.282903337541683,37.16464165333996,29.058926884563796,0.8332909003843153,-1.7114873159787942,4.997762293836986,0.23126307446130964,-5.4697807753641134,-5.161623004365621,-5.523500580733135,-8.214006660168264,-8.420207707124385,-5.26629260075551,-2.902619210469359,-2.9194945859130943,-2.497847539979885,-1.348824819483524
a0004.wav,1,0.04716796875,87.32067191659705,141.51785714285714,0.5637275334117646,-296.8870971023499,232.6831191715692,58.21297241324226,-2.481974511576381,22.276376114436683,20.547034015555788,-6.61704588612116,-10.838730078075487,-3.1679748643096675,-6.165098446194835,-8.332282816501987,-2.7080562663132985,0.1023848770358823,-1.5716044646900145,-2.0539675019873793,-2.3372005318404514,-4.0092005138270865,-4.733343328031534,-4.336658097375622,-4.768749364980384
a0005.wav,1,0.03717912946428571,61.47111677988704,88.49051339285714,0.6339031530336259,-357.9601239149994,208.92941881448397,73.79676126182898,12.18827919273889,23.37610336046307,27.11392611255803,6.430334704582069,-1.7955320276767948,5.980491606507499,4.834014377111577,-5.7512774655286645,-9.319487582617553,-5.977091724689456,-5.379391134457879,-7.106376909028742,-6.793588725410515,-6.0768361920149365,-6.93516940120856,-7.382692058267516,-6.679559904749887
a0006.wav,1,0.041890958460365856,70.34110247383366,113.13833841463415,0.5723914503173738,-273.07626207012146,235.88265506561982,64.77694905454051,5.095068791308048,26.17184557032132,22.93972249243937,-0.3897056000234051,0.0011117612256485564,8.318902395609975,1.8744497688217212,-5.6161990676308715,-5.012156326443627,-4.709570108257757,-5.75907379584371,-3.945780250246508,-1.7031339296858476,-1.9683119620335043,-3.9500222000129237,-6.223785253389015,-7.145507778676352
a0007.wav,0,0.0445068359375,81.31657884593174,130.58733258928572,0.6750706750467064,-292.1674865137544,233.72386651629174,75.45303450174099,3.0058228199622348,17.021615490993536,24.65780413084756,2.081082680005809,-10.803698283352873,-5.38029912751639,-3.4387359158394037,-6.875603123853336,-5.674805089807159,-3.384285900463606,-4.8070527935891345,-4.989554757744094,-2.5899927538194865,-2.8604498957028355,-5.700064901714511,-6.7211797129671025,-6.307565948913624
a0008.wav,1,0.037820870535714285,71.12148581189395,101.77873883928571,0.5420832325926896,-345.58512472942374,232.65623442555702,39.696999263743564,1.5846969999321214,42.5534003574327,31.574696067601366,5.078472581427596,8.52846308091435,8.627160325839563,-1.4053290910615273,-0.32825292459565847,1.9306177392337094,-3.385611927859802,-4.438328474556907,-2.1482404243625743,-4.5426619374300925,-6.495209361728369,-4.9938391271630005,-5.792410411452536,-8.274686307909857
a0009.wav,0,0.047548130580357145,106.41482013712351,188.12081473214286,0.6570927384719261,-309.09541397818106,249.8318242971051,13.315079288641519,-12.782510020010124,38.29741566204649,15.109409598699026,-7.33307160610526,6.011985541245776,3.046921816146165,-6.264419314068616,-2.6615893907606045,-6.078926298822064,-11.685593431770359,-7.069399394797364,-6.2858937415575395,-10.547531368604082,-7.5749486798454,-4.122727522582475,-7.3949481648977615,-8.300939616301282
a0010.wav,1,0.06394740513392858,113.11126177074823,196.76339285714286,0.6545642000698356,-298.04807321923676,273.5023103725323,21.04315460747202,-20.306844489713914,32.36102009153141,14.108952447054532,-16.848816378095073,-8.748085283527672,-3.661600113590199,-7.1309988744051465,-1.0718892925888959,0.49004198061468734,-5.8272713423262905,-6.7616366984429925,-6.632826316015435,-9.556186080100268,-8.738941347084683,-6.93353176563499,-8.180621560520473,-7.310490592299985
